,Temporary visa holders ('000),Australian Citizen ('000),Permanent visa holders ('000),NZ Citizen (subclass 444) ('000),Unknown Visa ('000)
2013-14,253.16,72.18,94.35,37.77,7.21
2014-15,262.93,71.68,91.49,31.75,7.4
2015-16,281.76,75.8,90.59,33.7,7.43
2016-17,314.82,79.28,106.2,32.33,7.53
2017-18,327.3,77.16,87.91,30.38,4.77
2018-19,350.67,78.9,85.39,30.54,4.9
2019-20,313.66,96.41,70.89,22.22,3.67
2020-21,29.58,61.37,36.95,16.95,1.15
2021-22,266.21,62.48,71.1,24.12,2.82
2022-23,556.62,58.75,80.39,42.66,0.96
2023-24,464.78,60.04,90.88,51.1,0
