Year,Visa Type,Count ('000)
2013-14,Temporary visa holders,253.16
2013-14,Australian Citizen,72.18
2013-14,Permanent visa holders,94.35
2013-14,NZ Citizen (subclass 444),37.77
2013-14,Unknown Visa,7.21
2014-15,Temporary visa holders,262.93
2014-15,Australian Citizen,71.68
2014-15,Permanent visa holders,91.49
2014-15,NZ Citizen (subclass 444),31.75
2014-15,Unknown Visa,7.4
2015-16,Temporary visa holders,281.76
2015-16,Australian Citizen,75.8
2015-16,Permanent visa holders,90.59
2015-16,NZ Citizen (subclass 444),33.7
2015-16,Unknown Visa,7.43
2016-17,Temporary visa holders,314.82
2016-17,Australian Citizen,79.28
2016-17,Permanent visa holders,106.2
2016-17,NZ Citizen (subclass 444),32.33
2016-17,Unknown Visa,7.53
2017-18,Temporary visa holders,327.3
2017-18,Australian Citizen,77.16
2017-18,Permanent visa holders,87.91
2017-18,NZ Citizen (subclass 444),30.38
2017-18,Unknown Visa,4.77
2018-19,Temporary visa holders,350.67
2018-19,Australian Citizen,78.9
2018-19,Permanent visa holders,85.39
2018-19,NZ Citizen (subclass 444),30.54
2018-19,Unknown Visa,4.9
2019-20,Temporary visa holders,313.66
2019-20,Australian Citizen,96.41
2019-20,Permanent visa holders,70.89
2019-20,NZ Citizen (subclass 444),22.22
2019-20,Unknown Visa,3.67
2020-21,Temporary visa holders,29.58
2020-21,Australian Citizen,61.37
2020-21,Permanent visa holders,36.95
2020-21,NZ Citizen (subclass 444),16.95
2020-21,Unknown Visa,1.15
2021-22,Temporary visa holders,266.21
2021-22,Australian Citizen,62.48
2021-22,Permanent visa holders,71.1
2021-22,NZ Citizen (subclass 444),24.12
2021-22,Unknown Visa,2.82
2022-23,Temporary visa holders,556.62
2022-23,Australian Citizen,58.75
2022-23,Permanent visa holders,80.39
2022-23,NZ Citizen (subclass 444),42.66
2022-23,Unknown Visa,0.96
2023-24,Temporary visa holders,464.78
2023-24,Australian Citizen,60.04
2023-24,Permanent visa holders,90.88
2023-24,NZ Citizen (subclass 444),51.1
2023-24,Unknown Visa,0
