State,Year,Arrivals
New South Wales,2019,282800
New South Wales,2023,230460
New South Wales,2024,240840
New South Wales,2025,293030
Victoria,2019,196970
Victoria,2023,146660
Victoria,2024,153480
Victoria,2025,173380
Queensland,2019,194200
Queensland,2023,141410
Queensland,2024,164980
Queensland,2025,173650
South Australia,2019,19450
South Australia,2023,14860
South Australia,2024,17490
South Australia,2025,17960
Western Australia,2019,72990
Western Australia,2023,54240
Western Australia,2024,63790
Western Australia,2025,76150
Tasmania,2019,5950
Tasmania,2023,4140
Tasmania,2024,4550
Tasmania,2025,5690
Northern Territory,2019,8820
Northern Territory,2023,4960
Northern Territory,2024,5050
Northern Territory,2025,6520
Australian Capital Territory,2019,8000
Australian Capital Territory,2023,6640
Australian Capital Territory,2024,8610
Australian Capital Territory,2025,6780
Australia,2019,789200
Australia,2023,603360
Australia,2024,658810
Australia,2025,753320
